Power_Node_ID,Drone_Facility_ID,Facility_Name,Node_Type,Latitude,Longitude
53,176,"Aboyne Hospital",H,57.07643789,-2.765467882
54,171,"Netherton",H,55.89505605,-4.329415592
55,192,"375 Great Western Lodge",H,57.13417605,-2.127455288
56,90,"Arran War Memorial Hospital",H,55.54315331,-5.114359851
57,250,"Ballenden House",H,55.9444908,-3.180858496
58,235,"Belhaven Hospital",H,55.99591579,-2.53617233
59,256,"Ferryfield House",H,55.97207592,-3.229021222
60,178,"Roxburghe House",H,57.15721439,-2.124360202
61,168,"Arndale Resource Centre",H,55.90942803,-4.348857013
62,269,"St Margaret's Hospital",H,56.29387341,-3.717919065
63,272,"Murray Royal Hospital",H,56.40047419,-3.410730583
64,260,"East Lothian Community Hospital",H,55.95715125,-2.795514921
65,270,"Aberfeldy Cottage Hospital",H,56.61863517,-3.859065662
66,41,"new",new,57.33490808,-5.540030481
67,80,"Stornoway Airport",A,58.215599,-6.33111
68,251,"St Michael's Hospital",H,55.97503746,-3.585907137
69,146,"Blythswood House",H,55.88034649,-4.387317634
70,131,"Randolph Wemyss Memorial Hospital",H,56.17721134,-3.025761579
71,143,"Vale of Leven General Hospital",H,55.99316724,-4.590578906
72,238,"Edington Cottage Hospital",H,56.05557239,-2.716843114
73,283,"Pitlochry Community Hospital",H,56.70160803,-3.73581816
74,129,"Adamson Hospital",H,56.32441458,-3.016476797
75,6,"Borders General Hospital",H,55.59548794,-2.740474678
76,160,"Shawmill Resource Centre",H,55.8265766,-4.29518636
77,276,"Little Cairnie Hospital",H,56.56795065,-2.606457761
78,237,"Edenhall Hospital",H,55.93689091,-3.034627515
79,201,"Caithness General Hospital",H,58.44171715,-3.094184124
80,288,"St Brendans Cot Hospital",H,56.95228577,-7.496280665
81,92,"Lady Margaret Hospital",H,55.76135748,-4.921581923
82,120,"Annan Hospital",H,54.98815386,-3.245571404
83,193,"Argyll and Bute Hospital",H,56.03530247,-5.427977833
84,151,"Parkview Resource Centre",H,55.85020447,-4.172620246
85,218,"Victoria Memorial Cottage Hospital",H,55.97686919,-4.06856589
86,267,"Royal Victoria Day Hospital",H,56.46265803,-3.012311044
87,229,"University Hospital Hairmyres",H,55.75998173,-4.220715026
88,215,"Migdale Hospital",H,57.89167493,-4.341446222
89,271,"Blairgowrie & Rattray Cottage Hospital",H,56.5860307,-3.344854159
90,277,"Montrose Royal Infirmary",H,56.70789536,-2.472990997
91,30,"Wick Airport",A,58.45890045,-3.093060017
92,28,"Raigmore Hospital",H,57.47407751,-4.191111893
93,144,"Inverclyde Royal Hospital",H,55.94438602,-4.808629296
94,91,"Ayrshire Central Hospital",H,55.63461331,-4.676906809
95,83,"new",new,57.76643301,-7.027993699
96,108,"Peebles Psychogeriatric Day Hospital",H,55.65155396,-3.181355872
97,264,"Strathmartine Hospital",H,56.50461339,-3.002135832
98,124,"Innistaigh",H,54.89862985,-5.021175739
99,93,"Warrix Avenue Mental Health Community Rehabilitation Unit",H,55.61190847,-4.658983516
100,162,"Centre for Integrative Care",H,55.88073775,-4.313853803
101,101,"The Knoll Hospital",H,55.77263743,-2.339900107
102,179,"Inverurie Hospital",H,57.27678856,-2.378035362
103,112,"Crichton Royal Hospital",H,55.05683478,-3.597721967
104,249,"Bonnyrigg Day Centre",H,55.87270787,-3.061243781
105,177,"Glen O'Dee Hospital",H,57.05934867,-2.519829255
106,247,"Cambridge Street Day Centre",H,55.94790711,-3.203928301
107,96,"Biggart Hospital",H,55.49259795,-4.603636983
108,49,"new",new,58.56491488,-4.889286107
109,180,"Peterhead Community Hospital",H,57.50258644,-1.791941805
110,209,"Portree Hospital",H,57.41055233,-6.191859131
111,29,"Inverness Airport",A,57.54249954,-4.047500134
112,265,"Hawkhill Day Hospital",H,56.45726248,-2.990551095
113,128,"Cameron Hospital",H,56.18651381,-3.05648161
114,153,"Stobhill Hospital",H,55.89296032,-4.218565887
115,76,"Ninewells Hospital",H,56.46180151,-2.989936931
